time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
31.0,31.7672578125,0.008012033926530666,11.91204374540168,1.2938995918479111e-14,74.41692846762353,492.9861097270786,4.710811560361758e-13,8.216843661796558e-11,1.4342987366951118e-08,2.5056403192500103e-06,0.0004380810772179028,3.607135728090041e-14,8.855475131198162e-13,3.392873903188609e-11,1.5865434330080946e-09,8.307712563610871e-08,1.086211249305885e-15
32.0,31.744,0.008815958543945509,13.514550405191514,1.894614110104039e-14,87.13022554292013,492.9848659830304,4.710811560361758e-13,8.81553646880807e-11,1.650763185102387e-08,3.0932872409317036e-06,0.0005800514525366525,5.182967978989237e-14,1.439942702411282e-12,6.306725851075881e-11,3.391777292115551e-09,2.050180626231314e-07,1.4019068731847986e-15
33.0,31.7192421875,0.009672096225206251,15.273304625540938,2.791923610074905e-14,101.52415305828636,492.9832357593599,4.710811560361756e-13,9.493409328287559e-11,1.914228122914281e-08,3.8621137434918824e-06,0.000779700786021809,7.49850691386793e-14,2.3452673828325787e-12,1.1676477636924413e-10,7.183128043679481e-09,4.986824906049778e-07,1.827976118151983e-15
34.0,31.6929375,0.010581997902153209,17.197888794917773,4.1377435013420087e-14,117.75974976851572,492.98108968839125,4.710811560361754e-13,1.0258023532157927e-10,2.2348195437327543e-08,4.871307978262492e-06,0.0010623922245491541,1.0921051614617656e-13,3.827834850387545e-12,2.155068269665366e-10,1.5084139112061694e-08,1.1964570938073598e-06,2.4059601446921625e-15
35.0,31.6650390625,0.011547139276760487,19.29798764308968,6.163339872152589e-14,136.00768798751943,492.97825228934266,4.71081156036176e-13,1.1117428724452904e-10,2.624776630641649e-08,6.1996958750392054e-06,0.0014650349961198243,1.600637339977501e-13,6.262206967831376e-12,3.9676583088099264e-10,3.1435127902796e-08,2.833780521734252e-06,3.1937733540624317e-15
36.0,31.6355,0.01256888362962325,21.58328082717903,9.221892679053772e-14,156.4483222226538,492.97448351180316,4.710811560361758e-13,1.2080106346201176e-10,3.0988296783292634e-08,7.952159168481627e-06,0.002041459071253259,2.359929724203909e-13,1.0271571536093667e-11,7.293773416358872e-10,6.512232709892012e-08,6.642277741087443e-06,4.272701983027984e-15
37.0,31.6042734375,0.01364842704255749,24.063281185944046,1.3854999739615935e-13,179.27160322921532,492.9694518647173,4.710811560361758e-13,1.315502684181458e-10,3.6746491130991373e-08,1.0267737993394451e-05,0.002869952397630835,3.4985011610100163e-13,1.6891157629444074e-11,1.3393212402816002e-09,1.342103675666723e-07,1.542299770014407e-05,5.757735045588455e-15
38.0,31.5713125,0.014786712008048966,26.74707784162888,2.0899225314442265e-13,204.67678274300178,492.96269240963994,4.710811560361741e-13,1.4351570566431812e-10,4.373315258620534e-08,1.3330147321224136e-05,0.00406421667565472,5.212676832657609e-13,2.784390842650197e-11,2.457190914069808e-09,2.753342517736222e-07,3.550975448424784e-05,7.813648069590213e-15
39.0,31.5365703125,0.015984285963629004,29.642913597086128,3.166175518696977e-13,232.8717784623593,492.9535384006311,4.710811560361715e-13,1.5679545745612404e-10,5.219891092733395e-08,1.738135431969747e-05,0.005789004136867973,7.804181977109187e-13,4.600148215742013e-11,4.504628861476864e-09,5.625201485164692e-07,8.112773113295551e-05,1.068105369712446e-14
40.0,31.5,0.017241062076625964,32.757466914132074,4.821956653450007e-13,264.0719687179684,492.94100618670285,4.710811560361716e-13,1.714910124450687e-10,6.24399362735413e-08,2.273851318171842e-05,0.008282152715905862,1.1740759777286276e-12,7.615997070706813e-11,8.251776102825364e-09,1.1447991671252276e-06,0.00018401744167225768,1.472017560481681e-14
41.0,31.4615546875,0.018555896877547162,36.09457935620786,7.39498404432535e-13,298.4979918531384,492.9235925856008,4.710811560361717e-13,1.8770635871393547e-10,7.480406906798599e-08,2.9815136663490517e-05,0.011885462879912293,1.7757092402364684e-12,1.2635940938592717e-10,1.5104222170919164e-08,2.3210672029151593e-06,0.0004145325102560122,2.048779671691477e-14
42.0,31.4211875,0.019925822462941098,39.65292869763639,1.145065798664384e-12,336.37174588006053,492.8989073378035,4.710811560361707e-13,2.0554632058820454e-10,8.969664972672173e-08,3.91468733600188e-05,0.017087326008352357,2.702875377894271e-12,2.1016087783820896e-10,2.762711547319286e-08,4.688500078477419e-06,0.0009275482185663004,2.887720620577108e-14
43.0,31.3788515625,0.021344619243485338,43.42166919927892,1.7967626317867376e-12,377.9090448285182,492.86299111506526,4.710811560362679e-13,2.2511326199686607e-10,1.0758463362374189e-07,5.142148970281591e-05,0.024580221406443385,4.148296332618866e-12,3.5065376231555913e-10,5.0506719948453916e-08,9.435790246703599e-06,0.002061591449615895,4.137940030680754e-14
44.0,31.3345,0.02280012911911562,47.372145559136456,2.8696887141175397e-12,423.30595220772585,492.8090339038702,4.710811560362502e-13,2.465003304505522e-10,1.2899587625287478e-07,6.75105723117728e-05,0.035335116980217796,6.437108031690792e-12,5.876524332413994e-10,9.232138967920731e-08,1.8918845644918874e-05,0.004550341509591417,6.057755417759573e-14
